dimension,group,seed,n,qv_top1_percent,all_attention_top1_percent,top1_gain_pp,qv_top10_percent,all_attention_top10_percent,top10_gain_pp
peak_count_bin,<25,7,17,5.88235294117647,17.647058823529413,11.764705882352942,52.94117647058824,52.94117647058824,0.0
peak_count_bin,<25,123,17,17.647058823529413,11.76470588235294,-5.882352941176472,52.94117647058824,64.70588235294117,11.764705882352944
peak_count_bin,<25,2026,17,5.88235294117647,11.76470588235294,5.88235294117647,41.17647058823529,58.82352941176471,17.647058823529417
peak_count_bin,>=100,7,51,31.372549019607842,37.254901960784316,5.882352941176472,82.35294117647058,82.35294117647058,0.0
peak_count_bin,>=100,123,51,33.33333333333333,41.17647058823529,7.8431372549019605,74.50980392156863,86.27450980392157,11.764705882352944
peak_count_bin,>=100,2026,51,29.411764705882355,35.294117647058826,5.882352941176472,84.31372549019608,86.27450980392157,1.9607843137254943
scaffold_status,acyclic,7,518,35.13513513513514,39.189189189189186,4.054054054054052,85.13513513513513,88.22393822393822,3.0888030888030937
scaffold_status,acyclic,123,518,33.011583011583014,41.6988416988417,8.687258687258687,85.13513513513513,88.8030888030888,3.6679536679536717
scaffold_status,acyclic,2026,518,32.625482625482626,38.22393822393823,5.598455598455598,82.43243243243244,88.22393822393822,5.7915057915057915
scaffold_status,train_seen,7,141,31.20567375886525,40.42553191489361,9.219858156028366,76.59574468085107,86.52482269503547,9.9290780141844
scaffold_status,train_seen,123,141,29.078014184397162,42.5531914893617,13.475177304964541,73.75886524822694,83.68794326241135,9.9290780141844
scaffold_status,train_seen,2026,141,29.078014184397162,36.87943262411347,7.801418439716312,76.59574468085107,86.52482269503547,9.9290780141844
scaffold_status,train_unseen,7,5,20.0,20.0,0.0,40.0,40.0,0.0
scaffold_status,train_unseen,123,5,20.0,20.0,0.0,40.0,60.0,19.999999999999996
scaffold_status,train_unseen,2026,5,20.0,0.0,-20.0,60.0,60.0,0.0
stereo_annotated,False,7,651,34.86943164362519,40.09216589861751,5.222734254992317,84.6390168970814,89.24731182795699,4.608294930875578
stereo_annotated,False,123,651,32.71889400921659,42.54992319508449,9.831029185867896,84.02457757296466,89.24731182795699,5.222734254992323
stereo_annotated,False,2026,651,32.41167434715822,38.40245775729647,5.990783410138246,82.642089093702,89.40092165898618,6.7588325652841785
stereo_annotated,True,7,13,0.0,0.0,0.0,0.0,0.0,0.0
stereo_annotated,True,123,13,0.0,0.0,0.0,0.0,0.0,0.0
stereo_annotated,True,2026,13,0.0,0.0,0.0,0.0,0.0,0.0
